"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"38","2025-01-24 06:16:03 -12","ORDER_FILL","MARKET_ORDER","NZD/JPY","89.00500","1.00","Sell","0.0001","","","","0.00000","","0.0000","","0.0000","0.00000","","100204.58"
"39","2025-01-24 06:16:03 -12","TAKE_PROFIT_ORDER","ON_FILL","","88.90000","","","","","","","","","","","","","",""
"40","2025-01-24 06:17:38 -12","MARKET_ORDER","TRADE_CLOSE","NZD/JPY","","1.00","Buy","","","","","","","","","","","",""
"41","2025-01-24 06:17:38 -12","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","NZD/JPY","89.03700","1.00","Buy","0.0001","","","","0.00000","","0.0000","0.0065","-0.0000","-0.00020","","100204.58"
"42","2025-01-24 06:17:38 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"43","2025-01-24 06:18:00 -12","MARKET_ORDER","CLIENT_ORDER","NZD/JPY","","2500000.00","Sell","","","88.90000","","","","","","","","",""
"44","2025-01-24 06:18:00 -12","ORDER_FILL","MARKET_ORDER","NZD/JPY","88.99500","2500000.00","Sell","353.0677","","","","0.00000","","0.0000","","0.0000","0.00000","","100204.58"
"45","2025-01-24 06:18:00 -12","TAKE_PROFIT_ORDER","ON_FILL","","88.90000","","","","","","","","","","","","","",""
"46","2025-01-24 06:27:21 -12","MARKET_ORDER","CLIENT_ORDER","EUR/CAD","","850000.00","Buy","","","1.58000","","","","","","","","",""
"47","2025-01-24 06:27:21 -12","ORDER_FILL","MARKET_ORDER","EUR/CAD","1.50637","850000.00","Buy","118.5425","","","","0.00000","","0.0000","","0.0000","0.00000","","100204.58"
"48","2025-01-24 06:27:21 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.58000","","","","","","","","","","","","","",""
"49","2025-01-24 06:28:21 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1.45000","","","","","","","","","","","","","",""
"50","2025-01-24 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-31.19540","","","","-0.1404","","","100173.39"
"","2025-01-24 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-31.19540","-0.0127","","","","","",""
"","2025-01-24 10:00:00 -12","DAILY_FINANCING","Trade ID: 44","NZD/JPY","","","","","","","","0.00000","0.0000","","","","","",""
"51","2025-01-25 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","100173.39"
"","2025-01-25 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0127","","","","","",""
"","2025-01-25 10:00:00 -12","DAILY_FINANCING","Trade ID: 44","NZD/JPY","","","","","","","","0.00000","0.0000","","","","","",""
"52","2025-01-26 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","100173.39"
"","2025-01-26 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0127","","","","","",""
"","2025-01-26 10:00:00 -12","DAILY_FINANCING","Trade ID: 44","NZD/JPY","","","","","","","","0.00000","0.0000","","","","","",""
"53","2025-01-26 10:04:55 -12","ORDER_FILL","TAKE_PROFIT_ORDER","NZD/JPY","88.89600","2500000.00","Buy","1733.6476","","","","0.00000","","0.0000","0.0064","-7.5683","1581.23110","","101754.62"
"54","2025-01-27 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-31.18590","","","","-0.1525","","","101723.43"
"","2025-01-27 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-31.18590","-0.0127","","","","","",""
"55","2025-01-28 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-26.12100","","","","-0.1280","","","101697.31"
"","2025-01-28 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-26.12100","-0.0107","","","","","",""
"56","2025-01-29 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-25.85030","","","","-0.1264","","","101671.46"
"","2025-01-29 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-25.85030","-0.0106","","","","","",""
"57","2025-01-30 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-23.83580","","","","-0.1163","","","101647.63"
"","2025-01-30 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-23.83580","-0.0098","","","","","",""
