"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"115","2025-02-25 02:51:45 -12","ORDER_FILL","MARKET_ORDER","EUR/USD","1.05026","2000000.00","Sell","170.0000","","","","0.00000","","0.0000","","0.0000","0.00000","","86490.75"
"116","2025-02-25 02:51:45 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.04950","","","","","","","","","","","","","",""
"117","2025-02-25 02:51:45 -12","STOP_LOSS_ORDER","ON_FILL","","1.05100","","","","","","","","","","","","","",""
"118","2025-02-25 03:10:31 -12","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.05102","2000000.00","Buy","190.0000","","","","0.00000","","0.0000","1.0000","0.0000","-1520.00000","","84970.75"
"119","2025-02-25 03:10:31 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"120","2025-02-25 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.21100","","","","-0.1409","","","84940.54"
"","2025-02-25 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-28.75890","-0.0117","","","","","",""
"","2025-02-25 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-1.45210","-0.0265","","","","","",""
"121","2025-02-26 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.39170","","","","-0.1453","","","84910.15"
"","2025-02-26 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.65750","-0.0121","","","","","",""
"","2025-02-26 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.73420","-0.0134","","","","","",""
"122","2025-02-27 03:01:13 -12","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","2000000.00","Sell","","1.04320","1.04150","","","","","","","","",""
"123","2025-02-27 03:01:13 -12","ORDER_FILL","MARKET_ORDER","EUR/USD","1.04224","2000000.00","Sell","170.0000","","","","0.00000","","0.0000","","0.0000","0.00000","","84910.15"
"124","2025-02-27 03:01:13 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.04150","","","","","","","","","","","","","",""
"125","2025-02-27 03:01:13 -12","STOP_LOSS_ORDER","ON_FILL","","1.04320","","","","","","","","","","","","","",""
"126","2025-02-27 03:08:33 -12","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.04148","2000000.00","Buy","160.0000","","","","0.00000","","0.0000","1.0000","0.0000","1520.00000","","86430.15"
"127","2025-02-27 03:08:33 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"128","2025-02-27 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-29.88720","","","","-0.1450","","","86400.26"
"","2025-02-27 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.65710","-0.0122","","","","","",""
"","2025-02-27 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.23010","-0.0042","","","","","",""
"129","2025-02-28 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-29.72150","","","","-0.1444","","","86370.54"
"","2025-02-28 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.59000","-0.0122","","","","","",""
"","2025-02-28 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.13150","-0.0024","","","","","",""
"130","2025-03-01 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","86370.54"
"","2025-03-01 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0122","","","","","",""
"","2025-03-01 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0024","","","","","",""
"131","2025-03-02 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","86370.54"
"","2025-03-02 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0122","","","","","",""
"","2025-03-02 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0024","","","","","",""
"132","2025-03-03 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.01530","","","","-0.1451","","","86340.53"
"","2025-03-03 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.91120","-0.0122","","","","","",""
"","2025-03-03 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.10410","-0.0019","","","","","",""
"133","2025-03-04 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.30420","","","","-0.1485","","","86310.22"
"","2025-03-04 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-30.30420","-0.0122","","","","","",""
"","2025-03-04 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0000","","","","","",""
"134","2025-03-05 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-31.11690","","","","-0.1524","","","86279.11"
"","2025-03-05 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-31.27580","-0.0124","","","","","",""
"","2025-03-05 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.15890","0.0029","","","","","",""
"135","2025-03-06 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-31.63030","","","","-0.1507","","","86247.48"
"","2025-03-06 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-31.76730","-0.0126","","","","","",""
"","2025-03-06 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.13700","0.0025","","","","","",""
"136","2025-03-07 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.75810","","","","-0.1463","","","86216.72"
"","2025-03-07 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-30.64300","-0.0121","","","","","",""
"","2025-03-07 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.11510","-0.0021","","","","","",""
"137","2025-03-08 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","86216.72"
"","2025-03-08 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0121","","","","","",""
"","2025-03-08 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0021","","","","","",""
"138","2025-03-09 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","86216.72"
"","2025-03-09 09:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0121","","","","","",""
"","2025-03-09 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0021","","","","","",""
"139","2025-03-10 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-39.74920","","","","-0.1901","","","86176.97"
"","2025-03-10 09:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-39.00950","-0.0154","","","","","",""
"","2025-03-10 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.73970","-0.0135","","","","","",""
"140","2025-03-11 02:02:18 -12","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/CAD","1.58009","849000.00","Sell","167.0152","","","","0.00000","","0.0000","0.6868","-211.5335","42985.26970","","129162.24"
"141","2025-03-11 02:02:18 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"142","2025-03-11 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.45480","","","","0.0000","","","129161.78"
"","2025-03-11 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.45480","-0.0083","","","","","",""
"143","2025-03-12 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.12600","","","","0.0000","","","129161.66"
"","2025-03-12 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.12600","-0.0023","","","","","",""
"144","2025-03-13 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.04930","","","","0.0000","","","129161.71"
"","2025-03-13 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.04930","0.0009","","","","","",""
"145","2025-03-14 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.07120","","","","0.0000","","","129161.64"
"","2025-03-14 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.07120","-0.0013","","","","","",""
"146","2025-03-15 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129161.64"
"","2025-03-15 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0013","","","","","",""
"147","2025-03-16 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129161.64"
"","2025-03-16 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0013","","","","","",""
"148","2025-03-17 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.12600","","","","0.0000","","","129161.76"
"","2025-03-17 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.12600","0.0023","","","","","",""
"149","2025-03-18 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.10410","","","","0.0000","","","129161.66"
"","2025-03-18 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.10410","-0.0019","","","","","",""
"150","2025-03-19 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.08770","","","","0.0000","","","129161.75"
"","2025-03-19 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.08770","0.0016","","","","","",""
"151","2025-03-20 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.07120","","","","0.0000","","","129161.67"
"","2025-03-20 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.07120","-0.0013","","","","","",""
"152","2025-03-21 06:57:23 -12","MARKET_ORDER","CLIENT_ORDER","CHF/JPY","","1000.00","Sell","","169.45000","168.50000","","","","","","","","",""
"153","2025-03-21 06:57:23 -12","ORDER_FILL","MARKET_ORDER","CHF/JPY","168.96100","1000.00","Sell","0.1207","","","","0.00000","","0.0000","","0.0000","0.00000","","129161.67"
"154","2025-03-21 06:57:23 -12","TAKE_PROFIT_ORDER","ON_FILL","","168.50000","","","","","","","","","","","","","",""
"155","2025-03-21 06:57:23 -12","STOP_LOSS_ORDER","ON_FILL","","169.45000","","","","","","","","","","","","","",""
"156","2025-03-21 07:01:35 -12","MARKET_ORDER","CLIENT_ORDER","NZD/USD","","1000.00","Sell","","0.57788","0.56992","","","","","","","","",""
"157","2025-03-21 07:01:35 -12","ORDER_FILL","MARKET_ORDER","NZD/USD","0.57341","1000.00","Sell","0.1150","","","","0.00000","","0.0000","","0.0000","0.00000","","129161.67"
"158","2025-03-21 07:01:35 -12","TAKE_PROFIT_ORDER","ON_FILL","","0.56992","","","","","","","","","","","","","",""
"159","2025-03-21 07:01:35 -12","STOP_LOSS_ORDER","ON_FILL","","0.57788","","","","","","","","","","","","","",""
"160","2025-03-21 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.04080","","","","-0.0001","","","129161.72"
"","2025-03-21 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.06580","0.0012","","","","","",""
"","2025-03-21 09:00:00 -12","DAILY_FINANCING","Trade ID: 153","CHF/JPY","","","","","","","","-0.02030","-0.0065","","","","","",""
"","2025-03-21 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","-0.00470","-0.0030","","","","","",""
"161","2025-03-22 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129161.72"
"","2025-03-22 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0012","","","","","",""
"","2025-03-22 09:00:00 -12","DAILY_FINANCING","Trade ID: 153","CHF/JPY","","","","","","","","0.00000","-0.0065","","","","","",""
"","2025-03-22 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","0.00000","-0.0030","","","","","",""
"162","2025-03-23 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129161.72"
"","2025-03-23 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0012","","","","","",""
"","2025-03-23 09:00:00 -12","DAILY_FINANCING","Trade ID: 153","CHF/JPY","","","","","","","","0.00000","-0.0065","","","","","",""
"","2025-03-23 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","0.00000","-0.0030","","","","","",""
"163","2025-03-23 11:51:12 -12","ORDER_FILL","STOP_LOSS_ORDER","CHF/JPY","169.45200","1000.00","Buy","0.1236","","","","0.00000","","0.0000","0.0067","-0.0162","-3.29770","","129158.42"
"164","2025-03-23 11:51:12 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"165","2025-03-24 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.10470","","","","-0.0000","","","129158.52"
"","2025-03-24 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.10960","0.0020","","","","","",""
"","2025-03-24 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","-0.00490","-0.0031","","","","","",""
"166","2025-03-25 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.05120","","","","-0.0000","","","129158.57"
"","2025-03-25 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.05480","0.0010","","","","","",""
"","2025-03-25 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","-0.00360","-0.0023","","","","","",""
"167","2025-03-26 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.09430","","","","-0.0000","","","129158.67"
"","2025-03-26 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.09860","0.0018","","","","","",""
"","2025-03-26 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","-0.00430","-0.0027","","","","","",""
"168","2025-03-27 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-1.47370","","","","-0.0000","","","129157.19"
"","2025-03-27 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-1.46850","-0.0268","","","","","",""
"","2025-03-27 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","-0.00520","-0.0033","","","","","",""
"169","2025-03-28 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-4.88760","","","","-0.0000","","","129152.31"
"","2025-03-28 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-4.88220","-0.0891","","","","","",""
"","2025-03-28 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","-0.00540","-0.0034","","","","","",""
"170","2025-03-29 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129152.31"
"","2025-03-29 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0891","","","","","",""
"","2025-03-29 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","0.00000","-0.0034","","","","","",""
"171","2025-03-30 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129152.31"
"","2025-03-30 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0891","","","","","",""
"","2025-03-30 09:00:00 -12","DAILY_FINANCING","Trade ID: 157","NZD/USD","","","","","","","","0.00000","-0.0034","","","","","",""
"172","2025-03-30 11:29:43 -12","ORDER_FILL","TAKE_PROFIT_ORDER","NZD/USD","0.56991","1000.00","Buy","0.1050","","","","0.00000","","0.0000","1.0000","0.0000","3.50000","","129155.81"
"173","2025-03-30 11:29:43 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"174","2025-03-31 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129155.81"
"","2025-03-31 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0000","","","","","",""
"175","2025-04-01 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.12050","","","","0.0000","","","129155.69"
"","2025-04-01 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.12050","-0.0022","","","","","",""
"176","2025-04-02 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.06030","","","","0.0000","","","129155.75"
"","2025-04-02 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.06030","0.0011","","","","","",""
"177","2025-04-03 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129155.75"
"","2025-04-03 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0000","","","","","",""
"178","2025-04-04 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.04930","","","","0.0000","","","129155.80"
"","2025-04-04 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.04930","0.0009","","","","","",""
"179","2025-04-05 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129155.80"
"","2025-04-05 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0009","","","","","",""
"180","2025-04-06 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129155.80"
"","2025-04-06 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0009","","","","","",""
"181","2025-04-07 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.26300","","","","0.0000","","","129155.53"
"","2025-04-07 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.26300","-0.0048","","","","","",""
"182","2025-04-08 07:24:10 -12","MARKET_ORDER","CLIENT_ORDER","NZD/CAD","","100000.00","Buy","","0.78820","0.79170","","","","","","","","",""
"183","2025-04-08 07:24:10 -12","ORDER_FILL","MARKET_ORDER","NZD/CAD","0.78997","100000.00","Buy","16.8623","","","","0.00000","","0.0000","","0.0000","0.00000","","129155.53"
"184","2025-04-08 07:24:10 -12","TAKE_PROFIT_ORDER","ON_FILL","","0.79170","","","","","","","","","","","","","",""
"185","2025-04-08 07:24:10 -12","STOP_LOSS_ORDER","ON_FILL","","0.78820","","","","","","","","","","","","","",""
"186","2025-04-08 08:25:59 -12","ORDER_FILL","STOP_LOSS_ORDER","NZD/CAD","0.78818","100000.00","Sell","16.8222","","","","0.00000","","0.0000","0.7044","-0.6207","-126.09300","","129029.44"
"187","2025-04-08 08:25:59 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"188","2025-04-08 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.03290","","","","0.0000","","","129029.47"
"","2025-04-08 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.03290","0.0006","","","","","",""
"189","2025-04-09 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.02740","","","","0.0000","","","129029.45"
"","2025-04-09 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.02740","-0.0005","","","","","",""
"190","2025-04-10 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.04930","","","","0.0000","","","129029.40"
"","2025-04-10 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.04930","-0.0009","","","","","",""
"191","2025-04-11 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.24660","","","","0.0000","","","129029.15"
"","2025-04-11 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.24660","-0.0045","","","","","",""
"192","2025-04-12 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129029.15"
"","2025-04-12 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0045","","","","","",""
"193","2025-04-13 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","129029.15"
"","2025-04-13 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0045","","","","","",""
"194","2025-04-14 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.16440","","","","0.0000","","","129028.99"
"","2025-04-14 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.16440","-0.0030","","","","","",""
"195","2025-04-15 02:14:03 -12","MARKET_ORDER","CLIENT_ORDER","NZD/CAD","","100000.00","Buy","","0.82000","0.82500","","","","","","","","",""
"196","2025-04-15 02:14:03 -12","ORDER_FILL","MARKET_ORDER","NZD/CAD","0.82301","100000.00","Buy","16.9214","","","","0.00000","","0.0000","","0.0000","0.00000","","129028.99"
"197","2025-04-15 02:14:03 -12","TAKE_PROFIT_ORDER","ON_FILL","","0.82500","","","","","","","","","","","","","",""
"198","2025-04-15 02:14:03 -12","STOP_LOSS_ORDER","ON_FILL","","0.82000","","","","","","","","","","","","","",""
"199","2025-04-15 02:27:45 -12","ORDER_FILL","TAKE_PROFIT_ORDER","NZD/CAD","0.82501","100000.00","Sell","17.2381","","","","0.00000","","0.0000","0.7147","-0.7074","142.93260","","129171.92"
"200","2025-04-15 02:27:45 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"201","2025-04-15 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-0.13700","","","","0.0000","","","129171.78"
"","2025-04-15 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.13700","-0.0025","","","","","",""
"202","2025-04-15 11:23:39 -12","MARKET_ORDER","CLIENT_ORDER","EUR/JPY","","100000.00","Sell","","162.59600","159.70500","","","","","","","","",""
"203","2025-04-15 11:23:39 -12","ORDER_FILL","MARKET_ORDER","EUR/JPY","161.62400","100000.00","Sell","8.7262","","","","0.00000","","0.0000","","0.0000","0.00000","","129171.78"
"204","2025-04-15 11:23:39 -12","TAKE_PROFIT_ORDER","ON_FILL","","159.70500","","","","","","","","","","","","","",""
"205","2025-04-15 11:23:39 -12","STOP_LOSS_ORDER","ON_FILL","","162.59600","","","","","","","","","","","","","",""
"206","2025-04-15 11:36:27 -12","MARKET_ORDER","CLIENT_ORDER","USD/CAD","","100000.00","Buy","","1.38708","1.41354","","","","","","","","",""
"207","2025-04-15 11:36:27 -12","ORDER_FILL","MARKET_ORDER","USD/CAD","1.39588","100000.00","Buy","8.2392","","","","0.00000","","0.0000","","0.0000","0.00000","","129171.78"
"208","2025-04-15 11:36:27 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.41354","","","","","","","","","","","","","",""
"209","2025-04-15 11:36:27 -12","STOP_LOSS_ORDER","ON_FILL","","1.38708","","","","","","","","","","","","","",""
"210","2025-04-16 04:16:13 -12","ORDER_FILL","STOP_LOSS_ORDER","USD/CAD","1.38708","100000.00","Sell","6.8485","","","","0.00000","","0.0000","0.7245","-3.1285","-637.55470","","128534.23"
"211","2025-04-16 04:16:13 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"212","2025-04-16 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","-9.87290","","","","-0.0482","","","128524.35"
"","2025-04-16 09:00:00 -12","DAILY_FINANCING","Trade ID: 203","EUR/JPY","","","","","","","","-9.82360","-0.0313","","","","","",""
"","2025-04-16 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.04930","-0.0009","","","","","",""
"213","2025-04-16 20:22:28 -12","ORDER_FILL","STOP_LOSS_ORDER","EUR/JPY","162.60000","100000.00","Buy","7.3419","","","","0.00000","","0.0000","0.0070","-3.3693","-685.85810","","127838.50"
"214","2025-04-16 20:22:28 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"215","2025-04-17 07:03:57 -12","LIMIT_ORDER","CLIENT_ORDER","NZD/USD","0.59760","100000.00","Buy","","0.59133","0.60700","","","","","","","","",""
"216","2025-04-17 07:04:55 -12","ORDER_FILL","LIMIT_ORDER","NZD/USD","0.59760","100000.00","Buy","12.5000","","","","0.00000","","0.0000","","0.0000","0.00000","","127838.50"
"217","2025-04-17 07:04:55 -12","TAKE_PROFIT_ORDER","ON_FILL","","0.60700","","","","","","","","","","","","","",""
"218","2025-04-17 07:04:55 -12","STOP_LOSS_ORDER","ON_FILL","","0.59133","","","","","","","","","","","","","",""
"219","2025-04-17 07:08:50 -12","MARKET_ORDER","CLIENT_ORDER","EUR/CAD","","10000.00","Sell","","1.58027","1.56323","","","","","","","","",""
"220","2025-04-17 07:08:50 -12","ORDER_FILL","MARKET_ORDER","EUR/CAD","1.57350","10000.00","Sell","1.2644","","","","0.00000","","0.0000","","0.0000","0.00000","","127838.50"
"221","2025-04-17 07:08:50 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.56323","","","","","","","","","","","","","",""
"222","2025-04-17 07:08:50 -12","STOP_LOSS_ORDER","ON_FILL","","1.58027","","","","","","","","","","","","","",""
"223","2025-04-17 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","127838.50"
"","2025-04-17 09:00:00 -12","DAILY_FINANCING","Trade ID: 220","EUR/CAD","","","","","","","","0.00000","0.0000","","","","","",""
"","2025-04-17 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0000","","","","","",""
"","2025-04-17 09:00:00 -12","DAILY_FINANCING","Trade ID: 216","NZD/USD","","","","","","","","0.00000","0.0000","","","","","",""
"224","2025-04-18 02:57:08 -12","ORDER_FILL","STOP_LOSS_ORDER","EUR/CAD","1.58029","10000.00","Buy","3.2460","","","","0.00000","","0.0000","0.7249","-0.2391","-49.22370","","127789.27"
"225","2025-04-18 02:57:08 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"226","2025-04-18 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","127789.27"
"","2025-04-18 09:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","0.0000","","","","","",""
"","2025-04-18 09:00:00 -12","DAILY_FINANCING","Trade ID: 216","NZD/USD","","","","","","","","0.00000","0.0000","","","","","",""
"227","2025-04-19 09:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","127789.27"
